,status,primary_color,secondary_color,name,full_color
0,shelter_or_rescue,Black,Brown,Faith,Black Brown
1,shelter_or_rescue,Grey,,Prancer,Grey 
2,shelter_or_rescue,Black,White,Gabriel,Black White
3,shelter_or_rescue,Black,White,Zora,Black White
4,shelter_or_rescue,Black,White,Frisky,Black White
5,shelter_or_rescue,Tortoiseshell,,Athena,Tortoiseshell 
6,shelter_or_rescue,Torbie,,Luna,Torbie 
7,shelter_or_rescue,Torbie,,Luna,Torbie 
8,shelter_or_rescue,Tortoiseshell,,Athena,Tortoiseshell 
9,shelter_or_rescue,Black,White,Frank,Black White
10,shelter_or_rescue,Black,,Magnolia,Black 
11,shelter_or_rescue,"Black 
Tortoiseshell",,"Princess Fluffy 
Tail","Black 
Tortoiseshell "
12,shelter_or_rescue,Brown Tabby,,Happy,Brown Tabby 
13,shelter_or_rescue,Brown Tabby,,Grumpy,Brown Tabby 
14,shelter_or_rescue,Brown Tabby,,Sheila,Brown Tabby 
15,shelter_or_rescue,Grey,,Flower,Grey 
16,shelter_or_rescue,Orange Tabby,,Salt,Orange Tabby 
17,shelter_or_rescue,Torbie,,Teavee,Torbie 
18,shelter_or_rescue,Torbie,,Bucket,Torbie 
19,shelter_or_rescue,Buff,,Maya,Buff 
20,shelter_or_rescue,Tortoiseshell,,Flower,Tortoiseshell 
21,shelter_or_rescue,Grey,,Brett,Grey 
22,shelter_or_rescue,Grey,,Rhett,Grey 
23,shelter_or_rescue,Smoke,,Fuzzy,Smoke 
24,shelter_or_rescue,"Black 
Tortoiseshell",,Misty,"Black 
Tortoiseshell "
25,shelter_or_rescue,Black,,Saber,Black 
26,shelter_or_rescue,Black,,Sweeny,Black 
27,shelter_or_rescue,Black,,Henry,Black 
28,shelter_or_rescue,White,Black,Charlie,White Black
29,shelter_or_rescue,Black,,Dale,Black 
30,shelter_or_rescue,"Black 
Tortoiseshell",,Ozielle,"Black 
Tortoiseshell "
31,shelter_or_rescue,Black,,Precious,Black 
32,shelter_or_rescue,White,Black,Lil O.G.,White Black
33,shelter_or_rescue,Grey,,Buddy,Grey 
34,shelter_or_rescue,Tortoiseshell,,Gloop,Tortoiseshell 
35,shelter_or_rescue,Black,,Eclipse,Black 
36,shelter_or_rescue,Buff,,Sherbert,Buff 
37,shelter_or_rescue,Brown Tabby,,Olaf,Brown Tabby 
38,shelter_or_rescue,Black,,Lil Bean Sprout,Black 
39,shelter_or_rescue,Tortoiseshell,,Trixie,Tortoiseshell 
40,shelter_or_rescue,Grey Tabby,,Meatball,Grey Tabby 
41,shelter_or_rescue,Brown Tabby,,Spaghetti,Brown Tabby 
42,shelter_or_rescue,Muted Calico,,Salt,Muted Calico 
43,shelter_or_rescue,Muted Calico,,Pepper,Muted Calico 
44,shelter_or_rescue,Muted Calico,White,Ketch,Muted Calico White
45,shelter_or_rescue,Buff,White,Sketch,Buff White
46,shelter_or_rescue,White,,Sadie,White 
47,shelter_or_rescue,Brown Tabby,,Sammie,Brown Tabby 
48,shelter_or_rescue,Buff,White,Vincent ,Buff White
49,shelter_or_rescue,Blue,White,Celery,Blue White
50,shelter_or_rescue,Black,,Alli Cat,Black 
51,shelter_or_rescue,Black,,Wesley,Black 
52,shelter_or_rescue,Grey Tabby,White,Meri,Grey Tabby White
53,shelter_or_rescue,Torbie,White,Tammy,Torbie White
54,shelter_or_rescue,White,Brown Tabby,Holly,White Brown Tabby
55,shelter_or_rescue,Brown Tabby,White,Robin,Brown Tabby White
56,shelter_or_rescue,Buff,White,Fluffy,Buff White
57,shelter_or_rescue,Orange Tabby,White,James,Orange Tabby White
58,shelter_or_rescue,Grey Tabby,,Miller,Grey Tabby 
59,shelter_or_rescue,Black,White,Barney,Black White
60,shelter_or_rescue,Brown Tabby,,Rory,Brown Tabby 
61,shelter_or_rescue,Brown Tabby,,Beau,Brown Tabby 
62,shelter_or_rescue,Grey,,Felix,Grey 
63,shelter_or_rescue,Brown Tabby,,Artimus,Brown Tabby 
64,shelter_or_rescue,Grey,White,Judy,Grey White
65,shelter_or_rescue,Grey,,Murr,Grey 
66,shelter_or_rescue,Orange Tabby,,Cameron,Orange Tabby 
67,shelter_or_rescue,Black,White,Jack O'Lantern,Black White
68,shelter_or_rescue,Black,,Dora,Black 
69,shelter_or_rescue,Black,,Alex,Black 
70,shelter_or_rescue,Black,,Adam,Black 
71,shelter_or_rescue,Black,,Arnold,Black 
72,shelter_or_rescue,Cream,,Icy,Cream 
73,shelter_or_rescue,Tortoiseshell,,Sly,Tortoiseshell 
74,shelter_or_rescue,Tortoiseshell,,Ivy,Tortoiseshell 
75,shelter_or_rescue,Black,White,Frenchie,Black White
76,shelter_or_rescue,Orange Tiger,,Anson,Orange Tiger 
77,shelter_or_rescue,Brown Tabby,White,Leslie,Brown Tabby White
78,shelter_or_rescue,Brown Tabby,,Shimmer,Brown Tabby 
79,shelter_or_rescue,White,Grey,Gloria,White Grey
80,shelter_or_rescue,Brown Tabby,,Buttercup,Brown Tabby 
81,shelter_or_rescue,Brown Tabby,,Buzz,Brown Tabby 
82,shelter_or_rescue,Grey,White,Woody,Grey White
83,shelter_or_rescue,Orange Tabby,White,Sid,Orange Tabby White
84,shelter_or_rescue,Buff Tiger,White,Rex,Buff Tiger White
85,shelter_or_rescue,Grey,,Smokey,Grey 
86,shelter_or_rescue,Brown Tabby,White,Tobi,Brown Tabby White
87,shelter_or_rescue,Silver Tabby,White,Lester,Silver Tabby White
88,shelter_or_rescue,Black,,Dora,Black 
89,shelter_or_rescue,Orange Tabby,,Hashbrown,Orange Tabby 
90,shelter_or_rescue,Blue,,Traxx,Blue 
91,shelter_or_rescue,Black,White,Oreo,Black White
92,shelter_or_rescue,Calico,,Spring Roll,Calico 
93,shelter_or_rescue,"Black 
Tortoiseshell",,Cranberry,"Black 
Tortoiseshell "
94,shelter_or_rescue,Orange Tabby,White,Gravy,Orange Tabby White
95,shelter_or_rescue,Orange Tabby,,Mash Tater,Orange Tabby 
96,shelter_or_rescue,Grey Tabby,,Brent,Grey Tabby 
97,shelter_or_rescue,Orange Tabby,,Gary,Orange Tabby 
98,shelter_or_rescue,Muted Calico,,Taylor,Muted Calico 
99,shelter_or_rescue,Black,White,Lilly Bug,Black White
100,shelter_or_rescue,Grey Tabby,,Jack Frost,Grey Tabby 
101,shelter_or_rescue,Black,White,Dasher,Black White
102,shelter_or_rescue,Black,,Dancer,Black 
103,shelter_or_rescue,Grey,,Vixen,Grey 
104,shelter_or_rescue,Grey Tabby,,Richard,Grey Tabby 
105,shelter_or_rescue,Brown Tabby,White,Elisandra,Brown Tabby White
106,shelter_or_rescue,Black,,Bradley,Black 
107,shelter_or_rescue,Black,White,Benedict,Black White
108,shelter_or_rescue,Grey Tabby,,Olivia,Grey Tabby 
109,shelter_or_rescue,Brown Tabby,White,Cody,Brown Tabby White
110,shelter_or_rescue,Grey Tabby,,Anya,Grey Tabby 
111,shelter_or_rescue,Calico,,Shasta,Calico 
112,shelter_or_rescue,White,Grey,Cindy Lou,White Grey
113,shelter_or_rescue,Grey,,Rebel,Grey 
114,shelter_or_rescue,Blue,White,Nicholas,Blue White
115,shelter_or_rescue,Black,White,Boo,Black White
116,shelter_or_rescue,Black,White,Sandy,Black White
117,shelter_or_rescue,Black,,Danny,Black 
118,shelter_or_rescue,Black,,Rizzo,Black 
119,shelter_or_rescue,Black,White,Frenchie,Black White
120,shelter_or_rescue,Black,White,Damien,Black White
121,shelter_or_rescue,Grey Tabby,,Dexter,Grey Tabby 
122,shelter_or_rescue,White,Brown,Kiki,White Brown
123,shelter_or_rescue,Brown Tabby,,Spike,Brown Tabby 
124,shelter_or_rescue,Brown Tabby,,Duckie,Brown Tabby 
125,shelter_or_rescue,Brown Tabby,,Little Foot,Brown Tabby 
126,shelter_or_rescue,Brown Tabby,,Petrie,Brown Tabby 
127,shelter_or_rescue,Grey,,Casey,Grey 
128,shelter_or_rescue,Orange Tabby,White,Marshall,Orange Tabby White
129,shelter_or_rescue,Brown Tabby,,Venus,Brown Tabby 
130,shelter_or_rescue,Muted Calico,,Winnie,Muted Calico 
131,shelter_or_rescue,Patch Tabby,,Sarah,Patch Tabby 
132,shelter_or_rescue,White,Buff,Billy,White Buff
133,shelter_or_rescue,Buff Tiger,,Ice (aka: Ernie),Buff Tiger 
134,shelter_or_rescue,White,Buff Tiger,Max,White Buff Tiger
135,shelter_or_rescue,Black,White,Binx,Black White
136,shelter_or_rescue,White,,Jake,White 
137,shelter_or_rescue,Orange Tabby,,Mama Baby,Orange Tabby 
