,color,activity_level,intelligence,socialness,vocalization,weight
0,Orange tabby/orange tabby with white,5.32,6.1,6.51,6.07,11.73
1,Calico,4.68,6.76,4.43,5.11,10.03
2,Tortoiseshell,5.06,6.88,5.61,6.3,9.72
3,Gray tuxedo gray and white,4.61,6.44,5.67,5.67,10.8
4,Solid black,5.72,6.54,6.28,6.25,10.85
5,Brown tabby/brown tabby with white,4.66,6.54,5.75,5.91,11.59
6,Classic tuxedo black and white,5.84,7.14,6.18,6.0,11.43
7,Seal point,4.67,7.42,7.42,7.42,10.58
8,Gray tabby/gray tabby with white,4.75,6.74,6.21,5.61,13.17
9,Solid gray,5.26,6.26,5.68,5.53,11.5
10,Solid white,4.4,6.6,5.8,6.8,11.5
