,Timestamp,family,"What is your pet's name? (As a reminder, you should submit one separate survey for each cat you have.)",How did you acquire this cat?,"If your cat came from a cat cafe, or if you indicated you adopted this cat from ""Other"", please give the name of the cafe or other adoption/purchase source below:",In which of the following life stages is this cat?,"How long, in years, have you had this cat? (Please round up or round down to the closest whole number.)",Which of these best describes your cat's coat color? ,"If your cat's coat was marked as ""Other"", please describe the cat's coloration below:","Approximately how much does your cat weigh, in pounds? (Please use decimals instead of fractions if you know your cat's weight very specifically.)","On a scale from 1 to 10, with 1 being ""scaredy cat"" and 10 being ""social butterfly"", how social is your cat around people?","On a scale from 1 to 10, with 1 being ""Has one brain cell"" and 10 being ""Kitty Einstein"", how intelligent do you think your cat is? (A nice simple quiz you can use to gauge this based on everyday behaviors can be found here.)","On a scale from 1 to 10, with 1 being ""Couch potato"" and 10 being ""Always in motion"", how active/playful is your cat?","On a scale from 1 to 10, with 1 being ""Cat's got his tongue"" and 10 being ""Chatty Cathy"", how vocal is your cat?"
0,6/5/2023 17:07:17,0,Archie,Adopted at a cat cafe,,Adult (3--6 years),4,Orange tabby/orange tabby with white,,15,9,7,6,3
1,6/5/2023 17:15:18,1,Dax,Adopted at a cat cafe,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,0,Orange tabby/orange tabby with white,,9.5,10,7,9,8
2,6/5/2023 19:54:13,2,Aylin,Acquired through a friend or relative,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,1,Calico,,7,5,8,6,7
3,6/5/2023 20:17:40,3,Ali,Adopted through animal shelter/rescue group,,Mature (7--10 years),6,Tortoiseshell,,15,2,7,3,5
4,6/5/2023 20:18:42,3,Warner,Adopted through animal shelter/rescue group,,Mature (7--10 years),6,Gray tuxedo (gray and white),,12,9,7,7,10
5,6/6/2023 9:30:07,4,Cleo,Acquired through a friend or relative,,Super Senior (15 years+),16,Solid black,,8.6,4,6,2,3
6,6/6/2023 9:36:41,5,Cinnamon,Adopted through animal shelter/rescue group,,Adult (3--6 years),3 years,Brown tabby/brown tabby with white,,8 lbs,8,6,7,9
7,6/6/2023 9:38:35,6,Patti LaBelle,Adopted through animal shelter/rescue group,,Adult (3--6 years),2,Brown tabby/brown tabby with white,,13 pounds,5,8,4,10
8,6/6/2023 9:41:00,7,Claire,Adopted through animal shelter/rescue group,,Senior (11-14 years),14,Calico,,13,10,8,3,8
9,6/6/2023 9:51:26,8,Charlie,Found as a stray,,Mature (7--10 years),10 years,Classic tuxedo (black and white),,16lbs,10,3,2,1
10,6/6/2023 9:53:18,8,Bella,Found as a stray,,Mature (7--10 years),7 years,Seal point,,7 lbs,8,9,4,10
11,6/6/2023 9:55:28,8,Finn,Adopted through animal shelter/rescue group,,Adult (3--6 years),51/2 years,Orange tabby/orange tabby with white,,6lbs,5,5,9,5
12,6/6/2023 9:57:15,8,Rip,Found as a stray,,Adult (3--6 years),2 years,Brown tabby/brown tabby with white,,16lbs,10,8,7,6
13,6/6/2023 9:59:35,8,Sushi,Found as a stray,,Adult (3--6 years),1 1/2 years,Classic tuxedo (black and white),,8 lbs,4,9,10,5
14,6/6/2023 10:08:36,9,Lucy,Adopted through animal shelter/rescue group,,Mature (7--10 years),10,Tortoiseshell,,11,6,9,2,8
15,6/6/2023 10:11:04,9,Oliver,Found as a stray,,Adult (3--6 years),6,Gray tabby/gray tabby with white,,13,2,3,5,4
